section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,17855
analyzeCount,1,17856
axleTravelRatio,1,-22.516647831585804
compressionSpeedRatio,1,-18.006136115594035
reboundSpeedRatio,1,-17.208292973921527
section,forkResults
movingCount,1,17854
filterRatio,1,62
timeComp,1,4014
timeReb,1,7139
axleMin,1,55.45
axleMax,1,159.4375
axleAvg,1,97.84240155600573
axleMovingAvg,1,97.93117975597252
segments,1,2
maxCompressionSpeed,1,3272.2500000000005
avgCompressionSpeed,1,952.9936708860763
compressionSpeed95,1,2252.6000000000004
maxReboundSpeed,1,1700.75
avgReboundSpeed,1,637.2641304347823
reboundSpeed95,1,1123.8500000000013
axleTravelTotal,1,26749.73000000019
totalTravelComp,1,8364.502499999997
totalTravelReb,1,11219.81
histogramLPS,42,20,160.0,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120
gforceTotalComp,1,7272.712106442572
gforceTotalReb,1,10383.733781512612
gforceMin,1,-14.35
gforceMax,1,8.66
gforceAbsTotal,1,28625.467025209844
gforceTotalFlat,1,10969.021137254658
travelToForceRatioComp,1,1.1501214921721232
travelToForceRatioReb,1,1.080517878836219
travelToForceRatioAll,1,0.9344731380781409
vibrationCompression,1,1.8118365985158376
vibrationRebound,1,1.4545081638202286
vibrationOverall,1,1.603128753651985
forceBreakdownTable,9,0.0,0.0,0.0,20.78163426864754,92.65951182167879,63.052924313491026,79.21836573135246,7.34048817832122,36.94707568650899
invalidSamples,1,48
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
13889,13901,66.30,96.48,2.23,1147.75,1232.50,81.73
13963,13976,109.15,127.66,1.80,699.20,752.00,120.91
14066,14085,58.75,132.15,2.71,2767.50,2932.50,95.83
14093,14112,116.03,146.68,2.99,616.10,642.50,130.22
14141,14157,78.95,152.36,3.11,1661.50,1792.00,131.46
14181,14194,75.75,159.44,3.62,2070.95,2214.50,97.27
14224,14240,72.88,127.19,2.35,1344.55,1450.00,90.25
14337,14348,85.65,120.64,4.34,1033.75,1072.00,106.01
14386,14402,65.49,88.53,1.81,525.90,564.00,82.28
14414,14432,86.83,122.95,1.39,1127.35,1216.00,111.82
14513,14524,87.37,108.77,0.82,548.15,554.00,100.47
14658,14682,89.23,145.56,2.17,1272.95,1362.50,131.57
14733,14748,114.44,142.55,1.98,672.75,708.00,121.98
14835,14851,69.86,93.76,0.81,524.20,547.00,86.44
14877,14899,70.16,108.97,0.83,658.20,681.00,97.39
14979,14989,68.68,123.88,1.85,2148.20,2292.50,97.16
15073,15087,63.21,107.09,2.32,1482.75,1606.50,80.11
15119,15131,103.56,124.03,1.60,851.80,925.00,115.31
15149,15160,115.98,130.01,2.41,432.35,456.50,125.80
15243,15257,66.38,93.44,2.26,802.60,851.50,75.19
15260,15270,93.12,105.61,1.26,377.45,390.50,100.82
15323,15334,97.84,117.38,1.17,645.75,681.00,106.50
15393,15404,57.33,102.18,2.53,1799.45,1938.50,76.70
15427,15438,63.70,120.03,3.53,1864.80,1999.50,82.66
15464,15475,67.89,99.75,3.84,1212.90,1294.50,83.86
15492,15521,93.39,126.95,1.16,448.45,493.00,123.08
15730,15743,61.61,115.30,2.14,1936.95,2104.50,79.45
15755,15772,109.31,136.09,2.26,546.65,557.00,125.49
15867,15893,103.41,143.37,0.91,624.20,639.50,130.63
15978,16000,57.48,138.15,2.08,1999.45,2146.00,81.71
16039,16049,95.61,110.61,4.64,510.05,557.00,99.88
16130,16148,94.37,108.49,1.42,276.05,285.50,99.16
16180,16202,62.62,87.57,0.61,542.35,566.50,70.61
16477,16489,77.87,116.74,1.70,1283.60,1343.00,97.31
16573,16591,59.22,102.52,1.35,1237.25,1304.00,76.84
16595,16605,101.79,112.60,2.38,448.00,481.00,106.58
16610,16621,109.44,147.10,3.02,1125.40,1162.00,128.03
16669,16682,70.34,89.28,1.58,570.05,605.00,76.06
16683,16706,89.09,133.95,1.11,1038.40,1087.00,105.07
16764,16793,68.19,124.73,1.82,689.75,710.00,111.08
16796,16807,124.71,136.65,2.08,553.80,619.50,132.45
16827,16846,114.00,138.07,2.99,588.45,603.00,124.88
16982,16992,58.56,93.64,1.01,1313.55,1423.50,72.14
16999,17009,91.48,116.92,3.86,986.60,1047.50,104.52
17070,17101,124.05,151.09,0.73,415.40,441.50,134.83
17605,17615,94.41,105.05,0.65,432.25,469.00,98.86
17698,17710,62.41,109.49,4.52,1795.60,1916.50,87.72
17825,17838,96.78,117.15,0.76,758.45,810.50,106.50
section,ForkStrokeDown
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
21,73,62.21,111.51,1.49,462.80,468.50,77.88
132,144,104.06,116.17,0.60,340.25,371.00,113.29
151,172,85.01,113.22,2.78,428.30,444.50,92.63
265,283,102.22,155.18,1.27,927.90,940.50,135.19
